> source("/Volumes/Macintosh HD/Users/theocean154/Documents/School_files/College/Semester 8/STAT 4400/HW/stat4400/hw2/part1/classify.R")
> source("/Volumes/Macintosh HD/Users/theocean154/Documents/School_files/College/Semester 8/STAT 4400/HW/stat4400/hw2/part1/fakedata.R")
> source("/Volumes/Macintosh HD/Users/theocean154/Documents/School_files/College/Semester 8/STAT 4400/HW/stat4400/hw2/part1/perceptrain.R")
> source("/Volumes/Macintosh HD/Users/theocean154/Documents/School_files/College/Semester 8/STAT 4400/HW/stat4400/hw2/part1/plotpercep.R")
> s <- c(3,2,1)
> S <- fakedata(s, 200)
 [77,]   5.28897222  3.32732700    1
 [78,]  -0.07428572 -0.73878873    1
 [79,]  -5.71592708 -2.41751612    1
 [80,]  -0.19399068  0.62677501    1
 [81,]  -6.26372801 -3.13538303    1
 [82,]  -0.48638396 -0.16901537    1
 [83,]  -3.09338429 -0.14105611    1
 [84,]   2.94678815  0.48039183    1
 [85,]   0.69069128 -0.80347851    1
 [86,]  -4.89621944 -1.89141635    1
 [87,]   0.27749520 -0.48464247    1
 [88,]   2.06142388 -0.08266562    1
 [89,]  -1.34240700 -0.30956634    1
 [90,]   0.57661977  0.54708753    1
 [91,]  -1.69042230 -1.02192999    1
 [92,]   1.57144315 -0.41991960    1
 [93,]   3.62756785  1.47234762    1
 [94,]  -1.02991877 -0.51579070    1
 [95,]   2.62971920  3.45533132    1
 [96,]  -3.85346280 -1.52412772    1
 [97,]   1.19313239  0.34609872    1
 [98,]  -1.83108799 -1.49913576    1
 [99,]   0.55554509 -0.14802104    1
[100,]  -3.04525298  1.04168685    1
[101,]  -4.90615620 -4.45595992    1
[102,]  -3.28020189 -1.39997909    1
[103,]  -0.52145077  0.34049536    1
[104,]   1.12708361  2.35122624    1
[105,]   2.26276478  1.02996412    1
[106,]  -1.56998068 -0.97352916    1
[107,]   3.33973057  1.89547098    1
[108,]  -2.68995087 -2.18318511    1
[109,]   2.03431829  0.71821587    1
[110,]  -3.92620221 -1.40240587    1
[111,]   2.99568145  1.66204190    1
[112,]   2.46521890  2.13660020    1
[113,]   0.80821009 -0.69609175    1
[114,]   5.32316179  4.70129424    1
[115,]   0.58302051 -0.23203382    1
[116,]   1.49718541  0.61781024    1
[117,]   2.39888457 -0.31910955    1
[118,]   1.53112304  0.79293138    1
[119,]  -0.06403280  1.44282851    1
[120,]  -2.84327956 -0.88642015    1
[121,]   4.37247124  3.14955757    1
[122,]   3.29545072  2.00581464    1
[123,]   0.06367855 -0.06194153    1
[124,]  -5.32491649 -3.39146736    1
[125,]  -4.23859427 -4.77908846    1
[126,]   0.10135971  1.17381129    1
[127,]   4.60490333  4.23192893    1
[128,]  -2.00539959  0.08769905    1
[129,]   1.97494945  0.87676641    1
[130,]  -4.45665753 -3.70947104    1
[131,]   0.28326827  1.28227590    1
[132,]   1.42886805  0.80918415    1
[133,]  -2.87285171 -2.04265758    1
[134,]  -5.37872627 -1.47187864    1
[135,]   2.04503885 -0.93209059    1
[136,]   0.57617571 -2.28595883    1
[137,]   3.95033399  2.42709693    1
[138,]   0.77642301 -0.97857347    1
[139,]  -2.76494232  0.23363770    1
[140,]  -2.24307356  0.44111542    1
[141,]  -5.20231076 -3.61375203    1
[142,]  -3.54858698 -3.47999972    1
[143,]   1.50038668  1.36561219    1
[144,]   5.53397688  2.25905721    1
[145,]  -0.31729232 -1.30393191    1
[146,]   2.03191206  4.28646295    1
[147,]  -5.16796052 -4.71356141    1
[148,]   1.46230505  1.62642438    1
[149,]  -1.19725916 -1.16012373    1
[150,]  -0.89651298 -0.64230432    1
[151,]  -3.19342356 -0.80634945    1
[152,]  -1.93606184 -0.24274975    1
[153,]  -0.93722104  1.59966919    1
[154,]   1.18717551  1.50019163    1
[155,]  -2.98664768 -4.32621562    1
[156,]  -3.29082995 -3.42833263    1
[157,]  -0.48902345 -1.20613351    1
[158,]  -4.61659864 -3.39896658    1
[159,]  -2.42837402 -1.18929111    1
[160,]  -0.64958302  1.47287469    1
[161,]  -4.21545185 -3.26442345    1
[162,]  -2.53228663  0.36662781    1
[163,]   2.49102524  1.04369928    1
[164,]   1.45561725  1.75171493    1
[165,]  -0.06823481 -0.88998432    1
[166,]  -3.04494907 -2.79076763    1
[167,]  -5.93755045 -2.55019348    1
[168,]   1.44139949  0.80099881    1
[169,]  -2.18915765 -2.05947858    1
[170,]   3.71959959  0.94651680    1
[171,]  -0.74416290 -0.14869010    1
[172,]   3.45103477  3.96743131    1
[173,]  -4.38418389 -0.74186095    1
[174,]  -2.34713798 -1.59535056    1
[175,]  -0.71632113 -1.66345091    1
[176,]  -0.71400207  0.53392914    1
[177,]  -2.16561714 -2.17466782    1
[178,]  -1.12738315  0.37506205    1
[179,]  -2.44573393 -0.53548867    1
[180,]   4.04732990  2.68412692    1
[181,]  -7.83884201 -6.68717451    1
[182,]   1.33428565 -1.19273327    1
[183,]  -0.83116322  0.94986802    1
[184,]  -2.05921781  0.56188900    1
[185,]  -1.23157550  1.22506300    1
[186,]   2.41230013  4.16688201    1
[187,]   1.49252352  1.09565782    1
[188,]  -3.45869005 -2.12865257    1
[189,]  -3.79545246 -2.80207294    1
[190,]   6.23784389  6.21068912    1
[191,]  -2.04815320 -2.10461317    1
[192,]  -1.98536555  1.67869103    1
[193,]   1.65506288  0.33361305    1
[194,]  -1.22102064  0.87623548    1
[195,]   4.99318794  1.84582576    1
[196,]  -2.76562144  0.04089825    1
[197,]   1.21004161  1.90095926    1
[198,]  -2.91190036 -0.67123294    1
[199,]  -5.66085407 -2.55222334    1
[200,]   0.37686696  1.33953644    1

$y
  [1]  1  1 -1 -1 -1  1 -1 -1  1 -1 -1  1 -1 -1 -1 -1 -1  1  1  1  1 -1  1 -1 -1 -1  1  1  1  1 -1 -1  1 -1 -1  1  1 -1  1 -1 -1 -1  1  1  1 -1 -1 -1  1 -1 -1 -1 -1 -1  1 -1 -1
 [58]  1 -1 -1 -1  1 -1  1 -1  1  1 -1 -1  1 -1  1  1  1  1 -1  1 -1 -1  1 -1 -1 -1  1  1 -1  1  1 -1  1 -1  1  1 -1  1 -1  1 -1  1 -1 -1 -1  1  1  1 -1  1 -1  1 -1  1  1  1  1
[115]  1  1  1  1  1 -1  1  1  1 -1 -1  1  1 -1  1 -1  1  1 -1 -1  1 -1  1  1 -1 -1 -1 -1  1  1 -1  1 -1  1 -1 -1 -1 -1  1  1 -1 -1 -1 -1 -1  1 -1 -1  1  1 -1 -1 -1  1 -1  1 -1
[172]  1 -1 -1 -1 -1 -1 -1 -1  1 -1  1  1 -1 -1  1  1 -1 -1  1 -1 -1  1 -1  1 -1  1 -1 -1  1
>
>
>
>
> y
  [1]  1  1 -1 -1 -1  1 -1 -1  1 -1 -1  1 -1 -1 -1 -1 -1  1  1  1  1 -1  1 -1 -1 -1  1  1  1  1 -1 -1  1 -1 -1  1  1 -1  1 -1 -1 -1  1  1  1 -1 -1 -1  1 -1 -1 -1 -1 -1  1 -1 -1
 [58]  1 -1 -1 -1  1 -1  1 -1  1  1 -1 -1  1 -1  1  1  1  1 -1  1 -1 -1  1 -1 -1 -1  1  1 -1  1  1 -1  1 -1  1  1 -1  1 -1  1 -1  1 -1 -1 -1  1  1  1 -1  1 -1  1 -1  1  1  1  1
[115]  1  1  1  1  1 -1  1  1  1 -1 -1  1  1 -1  1 -1  1  1 -1 -1  1 -1  1  1 -1 -1 -1 -1  1  1 -1  1 -1  1 -1 -1 -1 -1  1  1 -1 -1 -1 -1 -1  1 -1 -1  1  1 -1 -1 -1  1 -1  1 -1
[172]  1 -1 -1 -1 -1 -1 -1 -1  1 -1  1  1 -1 -1  1  1 -1 -1  1 -1 -1  1 -1  1 -1  1 -1 -1  1
>
>
>
>
> Z <- perceptrain(S) 
> Z
$Z
          [,1]
[1,] 16.602286
[2,] 12.613575
[3,]  4.583333

$Z_history
     [,1] [,2]       [,3]     [,4]     [,5]    
[1,] 1    11.08619   16.90647 16.73265 16.60229
[2,] 1    -0.8507291 12.41495 12.52845 12.61357
[3,] 1    -13        4        4.333333 4.583333

> 
